stat,Dis,crop,year,sea,prod,met,Unnamed: 7,Unnamed: 8,Unnamed: 9
Tamil Nadu,Coimbatore,Arhar/Tur,2001,Kharif,563,Hectare,370.0,Tonnes,0.657193606
Tamil Nadu,Cuddalore,Arhar/Tur,2001,Kharif,367,Hectare,240.0,Tonnes,0.653950954
Tamil Nadu,Dharmapuri,Arhar/Tur,2001,Kharif,12743,Hectare,7870.0,Tonnes,0.617593973
Tamil Nadu,Dindigul,Arhar/Tur,2001,Kharif,1618,Hectare,1010.0,Tonnes,0.624227441
Tamil Nadu,Erode,Arhar/Tur,2001,Kharif,1539,Hectare,1000.0,Tonnes,0.64977258
Tamil Nadu,Kanchipuram,Arhar/Tur,2001,Kharif,6,Hectare,0.1,Tonnes,0.016666667
Tamil Nadu,Karur,Arhar/Tur,2001,Kharif,2763,Hectare,900.0,Tonnes,0.325732899
Tamil Nadu,Madurai,Arhar/Tur,2001,Kharif,1855,Hectare,1210.0,Tonnes,0.652291105
Tamil Nadu,Namakkal,Arhar/Tur,2001,Kharif,5917,Hectare,5910.0,Tonnes,0.998816968
Tamil Nadu,Perambalur,Arhar/Tur,2001,Kharif,2218,Hectare,1210.0,Tonnes,0.545536519
Tamil Nadu,Pudukkottai,Arhar/Tur,2001,Kharif,1390,Hectare,1450.0,Tonnes,1.043165468
Tamil Nadu,Salem,Arhar/Tur,2001,Kharif,5110,Hectare,3910.0,Tonnes,0.765166341
Tamil Nadu,Sivaganga,Arhar/Tur,2001,Kharif,302,Hectare,200.0,Tonnes,0.662251656
Tamil Nadu,Thanjavur,Arhar/Tur,2001,Kharif,68,Hectare,40.0,Tonnes,0.588235294
Tamil Nadu,Theni,Arhar/Tur,2001,Kharif,2949,Hectare,1740.0,Tonnes,0.590030519
Tamil Nadu,Thiruvallur,Arhar/Tur,2001,Kharif,747,Hectare,490.0,Tonnes,0.655957162
Tamil Nadu,Thiruvarur,Arhar/Tur,2001,Kharif,43,Hectare,30.0,Tonnes,0.697674419
Tamil Nadu,Thoothukudi,Arhar/Tur,2001,Kharif,78,Hectare,50.0,Tonnes,0.641025641
Tamil Nadu,Tiruchirappalli,Arhar/Tur,2001,Kharif,1942,Hectare,800.0,Tonnes,0.411946447
Tamil Nadu,Tirunelveli,Arhar/Tur,2001,Kharif,72,Hectare,50.0,Tonnes,0.694444444
Tamil Nadu,Tiruvannamalai,Arhar/Tur,2001,Kharif,4373,Hectare,2380.0,Tonnes,0.544248799
Tamil Nadu,Vellore,Arhar/Tur,2001,Kharif,15456,Hectare,9590.0,Tonnes,0.620471014
Tamil Nadu,Villupuram,Arhar/Tur,2001,Kharif,478,Hectare,310.0,Tonnes,0.648535565
Tamil Nadu,Virudhunagar,Arhar/Tur,2001,Kharif,1016,Hectare,660.0,Tonnes,0.649606299
Tamil Nadu,Coimbatore,Bajra,2001,Kharif,236,Hectare,450.0,Tonnes,1.906779661
Tamil Nadu,Cuddalore,Bajra,2001,Kharif,4083,Hectare,10050.0,Tonnes,2.461425422
Tamil Nadu,Dharmapuri,Bajra,2001,Kharif,3385,Hectare,5100.0,Tonnes,1.506646972
Tamil Nadu,Dindigul,Bajra,2001,Kharif,5043,Hectare,6040.0,Tonnes,1.197699782
Tamil Nadu,Erode,Bajra,2001,Kharif,677,Hectare,740.0,Tonnes,1.093057607
Tamil Nadu,Kanchipuram,Bajra,2001,Kharif,47,Hectare,110.0,Tonnes,2.340425532
Tamil Nadu,Karur,Bajra,2001,Kharif,7280,Hectare,3060.0,Tonnes,0.42032967
Tamil Nadu,Madurai,Bajra,2001,Kharif,2031,Hectare,2590.0,Tonnes,1.275233875
Tamil Nadu,Nagapattinam,Bajra,2001,Kharif,3,Hectare,1.0,Tonnes,0.333333333
Tamil Nadu,Namakkal,Bajra,2001,Kharif,350,Hectare,490.0,Tonnes,1.4
Tamil Nadu,Perambalur,Bajra,2001,Kharif,2904,Hectare,3070.0,Tonnes,1.057162534
Tamil Nadu,Pudukkottai,Bajra,2001,Kharif,30,Hectare,40.0,Tonnes,1.333333333
Tamil Nadu,Ramanathapuram,Bajra,2001,Kharif,587,Hectare,620.0,Tonnes,1.056218058
Tamil Nadu,Salem,Bajra,2001,Kharif,3264,Hectare,6380.0,Tonnes,1.954656863
Tamil Nadu,Sivaganga,Bajra,2001,Kharif,26,Hectare,50.0,Tonnes,1.923076923
Tamil Nadu,Thanjavur,Bajra,2001,Kharif,9,Hectare,20.0,Tonnes,2.222222222
Tamil Nadu,Theni,Bajra,2001,Kharif,4099,Hectare,5930.0,Tonnes,1.446694316
Tamil Nadu,Thiruvallur,Bajra,2001,Kharif,1320,Hectare,2320.0,Tonnes,1.757575758
Tamil Nadu,Thoothukudi,Bajra,2001,Kharif,18150,Hectare,20160.0,Tonnes,1.110743802
